id,title,privacy,likes,views,comments,timestamp
4839211,Giving Your Baby Grown-up Food,public,38,16202,16,Fri Oct 04 04:05:35 2015
4839213,5 Pretty No-Carve Pumpkin Ideas,public,57,11236,13,Sun Oct 06 04:05:37 2015
4839222,Sarah Palin Knows Cheesesteak,public,71,20108,31,Tue Oct 15 01:05:46 2015
4839230,Do You Do the Flu Shot?,public,62,10674,16,Fri Oct 04 04:05:54 2015
4839232,An SEO friendly title here,public,107,12257,41,Sun Oct 06 04:05:00 2015
4839233,Is Your Baby's Bottle Safe?,public,90,10407,21,Mon Oct 07 04:05:01 2015
4839234,Yay! My Baby Claps,public,103,16530,39,Tue Oct 08 01:05:02 2015
4839241,Are You Smarter Than a 5th Grader?,public,93,17127,44,Tue Oct 15 01:05:09 2015
4839243,Baby Gear: I Love My ...,public,122,10858,45,Thu Oct 17 02:05:11 2015
4839245,Should Sara Palin Stay Closer to Home?,public,105,9119,14,Sat Oct 19 04:05:13 2015
4839248,No Homework for Kindergartners,public,117,12248,49,Thu Oct 03 02:05:16 2015
4839252,Baby Names!,public,64,15576,35,Mon Oct 07 04:05:20 2015
4839253,What Weight Is Overweight?,public,116,18975,26,Tue Oct 08 01:05:21 2015
4839256,Cheerios is the Best Breakfast Cereal,public,70,13019,45,Fri Oct 11 04:05:24 2015
4839258,Shoes for Every Mama,public,99,19903,37,Sun Oct 13 04:05:26 2015
4839259,Baby Names: Two Middle Names?,public,115,11182,17,Mon Oct 14 04:05:27 2015
4839270,Have You Been Bitten by Vampire Fever?,public,46,15420,35,Sun Oct 06 04:06:38 2015
4839277,Who is Your Guilty Pleasure?,public,108,14243,15,Sun Oct 13 04:06:45 2015
4839279,Shoes for Every Mama,public,112,10484,39,Tue Oct 15 01:06:47 2015
4839287,test test test,public,148,13623,41,Fri Oct 04 04:06:55 2015
4839289,Exercise During Pregnancy,public,117,11576,40,Sun Oct 06 04:06:01 2015
4839305,Celebrities We Love to Hate,public,68,19009,27,Thu Oct 03 02:06:17 2015
